Epoch,Ocemotion F1,Ocnli F1,Test Results Dir,Test Time,Tnews F1,Train Loss,Train Time,Valid F1,Valid Loss,Valid Time
1,0.4950742540771664,0.7158822033941309,ModelChineseRobertaLinear_BATCH64_Epoch1_LR5e-05/,20201226_2216,0.5334221938219019,7652.799718737602,1:38:48,0.5814595504310663,74.34704738855362,0:00:33
2,0.49942349388832896,0.7370486774519011,ModelChineseRobertaLinear_BATCH64_Epoch2_LR5e-05/,20201226_2332,0.5537093427825562,5937.603944242001,1:14:46,0.596727171374262,70.8727653324604,0:00:32
3,0.49675475698443444,0.7514139774420366,ModelChineseRobertaLinear_BATCH64_Epoch3_LR5e-05/,20201227_0049,0.5644189917462484,4335.350111223757,1:15:52,0.6041959087242398,79.3562835752964,0:00:33
4,0.49650554407439185,0.7452170434608464,ModelChineseRobertaLinear_BATCH64_Epoch4_LR5e-05/,20201227_0207,0.5859030026079727,2840.698457606137,1:16:07,0.609208530047737,91.54021388292313,0:00:33
5,0.4826412612686259,0.7466683274160317,ModelChineseRobertaLinear_BATCH64_Epoch5_LR5e-05/,20201227_0324,0.5805054141138163,1729.1731903258478,1:16:08,0.6032716675994912,114.61774158477783,0:00:33
